SOFile,GitFile,Line
FinalSO.csv3893.txt,FinalGit.csv3893.txt,12
FinalSO.csv3896.txt,FinalGit.csv3896.txt,3
FinalSO.csv3901.txt,FinalGit.csv3901.txt,5
FinalSO.csv3902.txt,FinalGit.csv3902.txt,22
FinalSO.csv3904.txt,FinalGit.csv3904.txt,15
FinalSO.csv3909.txt,FinalGit.csv3909.txt,10
FinalSO.csv3910.txt,FinalGit.csv3910.txt,7
FinalSO.csv3911.txt,FinalGit.csv3911.txt,35
FinalSO.csv3912.txt,FinalGit.csv3912.txt,8
FinalSO.csv3913.txt,FinalGit.csv3913.txt,18
FinalSO.csv3923.txt,FinalGit.csv3923.txt,6
FinalSO.csv3924.txt,FinalGit.csv3924.txt,3
FinalSO.csv3925.txt,FinalGit.csv3925.txt,3
FinalSO.csv3939.txt,FinalGit.csv3939.txt,4
FinalSO.csv3941.txt,FinalGit.csv3941.txt,4
FinalSO.csv3942.txt,FinalGit.csv3942.txt,4
FinalSO.csv3943.txt,FinalGit.csv3943.txt,4
FinalSO.csv3944.txt,FinalGit.csv3944.txt,4
FinalSO.csv3945.txt,FinalGit.csv3945.txt,7
FinalSO.csv3952.txt,FinalGit.csv3952.txt,4
FinalSO.csv3953.txt,FinalGit.csv3953.txt,4
FinalSO.csv3956.txt,FinalGit.csv3956.txt,23
FinalSO.csv3959.txt,FinalGit.csv3959.txt,3
FinalSO.csv3962.txt,FinalGit.csv3962.txt,29
FinalSO.csv3963.txt,FinalGit.csv3963.txt,7
FinalSO.csv3964.txt,FinalGit.csv3964.txt,6
FinalSO.csv3965.txt,FinalGit.csv3965.txt,6
FinalSO.csv3966.txt,FinalGit.csv3966.txt,6
FinalSO.csv3967.txt,FinalGit.csv3967.txt,10
FinalSO.csv3968.txt,FinalGit.csv3968.txt,10
FinalSO.csv3970.txt,FinalGit.csv3970.txt,3
FinalSO.csv3973.txt,FinalGit.csv3973.txt,11
FinalSO.csv3974.txt,FinalGit.csv3974.txt,11
FinalSO.csv3976.txt,FinalGit.csv3976.txt,3
FinalSO.csv3979.txt,FinalGit.csv3979.txt,3
FinalSO.csv3981.txt,FinalGit.csv3981.txt,7
FinalSO.csv3982.txt,FinalGit.csv3982.txt,7
FinalSO.csv3983.txt,FinalGit.csv3983.txt,7
FinalSO.csv3986.txt,FinalGit.csv3986.txt,4
FinalSO.csv3987.txt,FinalGit.csv3987.txt,4
FinalSO.csv3988.txt,FinalGit.csv3988.txt,4
FinalSO.csv3989.txt,FinalGit.csv3989.txt,5
FinalSO.csv3990.txt,FinalGit.csv3990.txt,5
FinalSO.csv3991.txt,FinalGit.csv3991.txt,5
FinalSO.csv3993.txt,FinalGit.csv3993.txt,4
FinalSO.csv3994.txt,FinalGit.csv3994.txt,8
FinalSO.csv4074.txt,FinalGit.csv4074.txt,4
FinalSO.csv4090.txt,FinalGit.csv4090.txt,3
FinalSO.csv4092.txt,FinalGit.csv4092.txt,3
FinalSO.csv4093.txt,FinalGit.csv4093.txt,3
FinalSO.csv4094.txt,FinalGit.csv4094.txt,3
FinalSO.csv4095.txt,FinalGit.csv4095.txt,3
FinalSO.csv4112.txt,FinalGit.csv4112.txt,4
FinalSO.csv4117.txt,FinalGit.csv4117.txt,10
FinalSO.csv4156.txt,FinalGit.csv4156.txt,12
FinalSO.csv4157.txt,FinalGit.csv4157.txt,6
FinalSO.csv4159.txt,FinalGit.csv4159.txt,8
FinalSO.csv4160.txt,FinalGit.csv4160.txt,20
FinalSO.csv4166.txt,FinalGit.csv4166.txt,20
FinalSO.csv4167.txt,FinalGit.csv4167.txt,20
FinalSO.csv4168.txt,FinalGit.csv4168.txt,20
FinalSO.csv4169.txt,FinalGit.csv4169.txt,20
FinalSO.csv4170.txt,FinalGit.csv4170.txt,20
FinalSO.csv4171.txt,FinalGit.csv4171.txt,6
FinalSO.csv4172.txt,FinalGit.csv4172.txt,6
FinalSO.csv4173.txt,FinalGit.csv4173.txt,12
FinalSO.csv4174.txt,FinalGit.csv4174.txt,5
FinalSO.csv4181.txt,FinalGit.csv4181.txt,5
FinalSO.csv4185.txt,FinalGit.csv4185.txt,5
FinalSO.csv4187.txt,FinalGit.csv4187.txt,3
FinalSO.csv4984.txt,FinalGit.csv4984.txt,15
FinalSO.csv4985.txt,FinalGit.csv4985.txt,15
FinalSO.csv4986.txt,FinalGit.csv4986.txt,15
FinalSO.csv4987.txt,FinalGit.csv4987.txt,5
FinalSO.csv4988.txt,FinalGit.csv4988.txt,5
FinalSO.csv5035.txt,FinalGit.csv5035.txt,4
FinalSO.csv5036.txt,FinalGit.csv5036.txt,65
FinalSO.csv5038.txt,FinalGit.csv5038.txt,78
FinalSO.csv5039.txt,FinalGit.csv5039.txt,78
FinalSO.csv5040.txt,FinalGit.csv5040.txt,33
FinalSO.csv5044.txt,FinalGit.csv5044.txt,3
FinalSO.csv5045.txt,FinalGit.csv5045.txt,9
FinalSO.csv5046.txt,FinalGit.csv5046.txt,9
FinalSO.csv5047.txt,FinalGit.csv5047.txt,9
FinalSO.csv5048.txt,FinalGit.csv5048.txt,9
FinalSO.csv5049.txt,FinalGit.csv5049.txt,9
FinalSO.csv5050.txt,FinalGit.csv5050.txt,9
FinalSO.csv5051.txt,FinalGit.csv5051.txt,9
FinalSO.csv5052.txt,FinalGit.csv5052.txt,9
FinalSO.csv5053.txt,FinalGit.csv5053.txt,9
FinalSO.csv5054.txt,FinalGit.csv5054.txt,13
FinalSO.csv5056.txt,FinalGit.csv5056.txt,3
FinalSO.csv5058.txt,FinalGit.csv5058.txt,7
FinalSO.csv5064.txt,FinalGit.csv5064.txt,14
FinalSO.csv5065.txt,FinalGit.csv5065.txt,3
FinalSO.csv5066.txt,FinalGit.csv5066.txt,3
FinalSO.csv5071.txt,FinalGit.csv5071.txt,4
FinalSO.csv5072.txt,FinalGit.csv5072.txt,4
FinalSO.csv5073.txt,FinalGit.csv5073.txt,4
FinalSO.csv5075.txt,FinalGit.csv5075.txt,19
FinalSO.csv5076.txt,FinalGit.csv5076.txt,19
FinalSO.csv5077.txt,FinalGit.csv5077.txt,19
FinalSO.csv5078.txt,FinalGit.csv5078.txt,19
FinalSO.csv5079.txt,FinalGit.csv5079.txt,7
FinalSO.csv5080.txt,FinalGit.csv5080.txt,3
FinalSO.csv5081.txt,FinalGit.csv5081.txt,16
FinalSO.csv5082.txt,FinalGit.csv5082.txt,16
FinalSO.csv5086.txt,FinalGit.csv5086.txt,8
FinalSO.csv5088.txt,FinalGit.csv5088.txt,3
FinalSO.csv5093.txt,FinalGit.csv5093.txt,4
FinalSO.csv5097.txt,FinalGit.csv5097.txt,3
FinalSO.csv5098.txt,FinalGit.csv5098.txt,3
FinalSO.csv5099.txt,FinalGit.csv5099.txt,3
FinalSO.csv5100.txt,FinalGit.csv5100.txt,17
FinalSO.csv5101.txt,FinalGit.csv5101.txt,3
FinalSO.csv5104.txt,FinalGit.csv5104.txt,7
FinalSO.csv5105.txt,FinalGit.csv5105.txt,8
FinalSO.csv5120.txt,FinalGit.csv5120.txt,17
FinalSO.csv5121.txt,FinalGit.csv5121.txt,17
FinalSO.csv5122.txt,FinalGit.csv5122.txt,8
FinalSO.csv5124.txt,FinalGit.csv5124.txt,5
,,9.47027027
